112 25
1 15 690
10 15 735
10 45 735
10 75 735
10 135 735
10 105 735
10 165 735
10 195 735
10 195 765
10 135 765
10 105 765
10 75 765
10 15 765
10 45 765
10 165 765
10 285 645
10 165 525
10 135 525
10 105 525
10 75 525
10 45 525
10 75 375
10 105 375
10 135 375
10 165 375
10 255 465
10 165 345
10 195 345
10 225 345
10 225 315
10 255 315
10 285 315
10 285 285
10 315 285
10 345 285
10 375 285
10 405 105
10 435 105
10 465 105
10 495 105
10 525 105
10 555 105
10 585 105
10 615 105
10 645 105
10 675 105
10 705 105
10 735 105
10 765 105
10 465 195
10 795 195
10 825 195
10 855 195
10 885 195
10 915 285
10 945 285
10 975 285
10 1005 285
10 1065 195
10 1035 435
10 975 435
10 1005 435
10 945 435
10 915 435
10 885 435
10 855 435
10 825 435
10 795 525
10 765 525
10 735 525
10 705 525
10 735 375
10 675 615
10 645 615
10 615 615
10 585 705
10 555 705
10 615 705
10 645 705
10 675 705
10 705 705
10 735 705
10 795 705
10 765 705
10 825 705
10 855 705
10 885 705
10 915 705
10 945 705
10 975 705
10 975 675
10 1005 675
10 1035 675
10 1065 495
10 1035 495
10 1095 495
10 1125 495
10 1155 495
10 1185 495
10 1035 645
10 1065 645
10 1095 645
10 1095 615
10 1125 615
10 1155 615
10 1215 615
10 1185 615
10 1245 615
10 1275 615
10 825 615
10 1305 615
10 1335 615
10 1365 615
10 1395 615
10 1425 615
10 1455 465
10 1485 465
10 1515 465
10 1545 465
10 1575 465
10 1185 345
10 1605 435
10 1575 435
10 1635 435
10 1635 405
10 1665 405
10 1695 405
10 1725 375
10 1755 375
10 1695 375
10 1785 495
10 1815 495
10 1875 495
10 1905 495
10 1845 495
10 1935 555
10 1965 555
10 1995 555
10 2025 555
10 2205 465
10 2235 465
10 2265 465
10 2295 465
10 2055 615
10 2085 615
10 2115 615
10 2145 615
10 2175 465
11 135 345
11 315 255
11 675 75
11 795 165
11 495 75
11 915 255
11 795 495
11 675 585
11 1035 465
11 1065 465
11 1095 465
11 1155 465
11 1125 465
11 1185 465
11 1935 525
11 2055 585
12 195 705
12 195 675
12 195 645
12 195 615
12 195 585
