126 25 
1 45 690 
10 15 615 
10 45 615 
10 75 615 
10 105 615 
10 165 615 
10 225 615 
10 195 615 
10 195 585 
10 285 615 
10 315 615 
10 345 615 
10 375 615 
10 435 615 
10 465 615 
10 525 615 
10 615 645 
10 555 615 
10 645 645 
10 585 735 
10 645 735 
10 555 735 
10 555 765 
10 525 765 
10 465 765 
10 495 765 
10 435 765 
10 405 765 
10 345 765 
10 375 765 
10 315 765 
10 285 765 
10 255 765 
10 225 765 
10 195 765 
10 165 765 
10 135 765 
10 105 765 
10 75 765 
10 45 765 
10 15 765 
10 15 735 
10 615 735 
10 645 765 
10 45 735 
10 615 765 
10 75 735 
10 585 765 
10 105 735 
10 675 735 
10 135 735 
10 165 735 
10 195 735 
10 675 765 
10 705 765 
10 705 735 
10 225 735 
10 255 735 
10 735 735 
10 735 765 
10 285 735 
10 315 735 
10 345 735 
10 735 705 
10 765 675 
10 795 675 
10 375 735 
10 405 735 
10 435 735 
10 825 675 
10 825 645 
10 825 705 
10 465 735 
10 495 735 
10 525 735 
10 795 705 
10 765 705 
10 765 735 
10 795 735 
10 825 735 
10 795 765 
10 765 765 
10 825 765 
10 885 705 
10 915 735 
10 885 735 
10 885 765 
10 915 765 
10 945 765 
10 975 765 
10 1005 765 
10 1035 765 
10 1065 765 
10 1095 765 
10 1125 765 
10 1155 765 
10 1185 765 
10 1215 765 
10 1245 765 
10 1275 765 
10 1215 735 
10 1245 735 
10 1275 735 
10 1335 645 
10 1365 645 
10 1185 615 
10 1275 705 
10 1395 645 
10 1215 615 
10 1155 615 
10 1125 615 
10 1305 645 
10 1305 765 
10 1305 705 
10 1305 735 
10 1335 765 
10 1335 735 
10 1335 705 
10 1335 675 
10 1395 675 
10 1395 705 
10 1275 675 
10 1245 705 
10 1095 495 
10 1125 495 
10 1155 495 
10 1185 495 
10 1095 615 
10 1065 615 
10 1395 765 
10 1395 735 
10 1305 675 
10 1305 495 
10 1335 495 
10 1365 495 
10 1395 495 
10 1395 525 
10 1365 765 
10 1365 735 
10 1365 705 
10 1365 675 
10 1215 495 
10 1395 585 
10 1395 555 
10 1395 615 
10 1425 495 
10 1425 525 
10 1425 555 
10 1425 585 
10 1425 615 
10 1425 645 
10 1425 675 
10 1425 735 
10 1425 705 
10 1425 765 
10 1425 375 
10 1425 405 
10 1425 435 
10 1425 465 
10 1365 375 
10 1275 375 
10 1245 375 
10 1215 375 
10 1185 375 
10 1155 375 
10 1125 375 
10 1095 375 
10 1065 375 
10 1155 255 
10 1185 255 
10 1305 225 
10 1335 225 
10 1395 195 
10 1365 195 
10 1425 165 
10 1455 165 
10 1455 375 
10 1455 435 
10 1455 405 
10 1455 465 
10 1455 495 
10 1455 525 
10 1455 585 
10 1455 555 
10 1455 615 
10 1455 645 
10 1455 675 
10 1455 705 
10 1455 765 
10 1485 735 
10 1485 165 
10 1515 165 
10 1365 225 
10 1395 225 
10 1455 225 
10 1425 225 
10 1425 195 
10 1485 195 
10 1455 195 
10 1515 195 
10 1515 225 
10 1485 225 
10 1545 165 
10 1545 195 
10 1545 225 
10 1575 165 
10 1605 165 
10 1635 165 
10 1665 165 
10 1695 165 
10 1725 165 
10 1755 165 
10 1575 225 
10 1635 225 
10 1605 225 
10 1695 225 
10 1725 225 
10 1785 225 
10 1815 225 
10 1845 225 
10 1875 225 
10 1755 225 
10 1785 195 
10 1815 195 
10 1725 195 
10 1665 195 
10 1635 195 
10 1575 195 
10 1605 195 
10 1695 195 
10 1755 195 
10 1665 225 
10 1905 225 
10 1935 225 
10 1995 225 
10 1995 345 
10 1965 345 
10 1935 345 
10 1905 345 
10 1875 345 
10 1845 345 
10 1845 375 
10 1905 375 
10 1875 375 
10 1965 375 
10 1995 375 
10 1935 375 
10 1785 345 
10 1785 375 
10 1815 495 
10 1845 495 
10 1785 495 
10 1935 495 
10 1965 495 
10 1995 495 
10 1755 375 
10 1755 345 
10 1755 555 
10 1725 555 
10 1695 555 
10 2085 315 
10 2085 465 
10 1665 675 
10 1695 675 
10 1755 735 
10 1785 735 
10 1845 735 
10 1875 735 
10 1815 735 
10 1905 735 
10 1935 735 
10 1965 735 
10 2025 735 
10 2055 735 
10 1995 735 
10 2085 705 
10 2115 705 
10 2145 675 
10 2175 675 
10 2205 645 
10 2235 645 
10 2265 615 
10 2325 585 
10 2295 615 
10 2355 585 
10 2385 555 
10 2415 555 
10 2445 525 
10 2475 525 
10 2625 465 
10 2685 465 
10 2715 465 
10 2655 465 
10 2535 495 
10 2505 495 
10 2565 465 
10 2595 465 
12 135 705 
12 135 675 
12 135 645 
12 135 615 
12 405 615 
12 405 645 
12 405 675 
12 405 705 
12 1065 585 
12 1065 555 
12 1065 525 
12 1065 495 
12 1395 465 
12 1395 435 
12 1395 405 
12 1395 375 
12 1125 345 
12 1125 315 
12 1125 285 
12 1125 255 
12 1965 225 
12 1965 255 
12 1965 285 
12 1965 315 
12 1815 345 
12 1815 375 
12 1665 555 
12 1665 585 
12 1665 615 
2 75 495 
2 405 495 
2 945 555 
5 255 675 
5 555 675 
5 1155 705 
5 1185 315 
5 1905 675 
5 1575 105 
4 1305 465 
4 1365 615 
4 2085 285 
4 2085 435 
4 2205 615 
4 2385 525 
4 2565 435 
10 2805 285
10 2835 285
10 2865 285
10 2865 255
10 2865 225
10 2865 195
10 2865 165
10 2865 135
10 2865 105
10 2865 75
10 2865 45
10 2865 15
10 2835 45
10 2835 75
10 2835 105
10 2835 135
10 2835 165
10 2835 195
10 2835 225
10 2835 255
10 2805 255
10 2805 225
10 2805 195
10 2805 165
10 2805 135
10 2805 105
10 2805 75
10 2805 45
10 2805 15
10 2835 15
10 2895 15
10 2925 15
10 2955 15
10 2985 15
10 3015 15
10 3045 15
10 3075 15
10 3105 15
