600 480
10 15 105 
10 45 105 
10 75 105 
10 105 105 
10 105 75 
10 75 75 
10 45 75 
10 15 75 
10 45 45 
10 15 45 
10 75 45 
10 105 45 
10 45 15 
10 15 15 
10 75 15 
10 105 15 
10 135 15 
10 135 45 
10 135 75 
10 135 105 
10 15 135 
10 75 135 
10 45 135 
10 135 135 
10 105 135 
10 15 285 
10 15 315 
10 45 345 
10 45 315 
10 45 285 
10 15 345 
10 75 345 
10 75 285 
10 75 315 
10 105 345 
10 105 315 
10 105 285 
10 135 285 
10 135 315 
10 135 345 
10 45 405 
10 15 375 
10 15 405 
10 45 375 
10 75 375 
10 75 405 
10 135 405 
10 105 375 
10 105 405 
10 135 375 
10 135 435 
10 135 465 
10 105 435 
10 105 465 
10 75 465 
10 75 435 
10 45 435 
10 15 435 
10 15 465 
10 45 465 
10 165 15 
10 195 15 
10 225 15 
10 255 15 
10 315 15 
10 285 15 
10 345 15 
10 375 15 
10 405 15 
10 435 15 
10 465 15 
10 495 15 
10 525 15 
10 555 15 
10 555 45 
10 585 75 
10 585 45 
10 585 15 
10 555 75 
10 555 105 
10 585 105 
10 585 135 
10 555 135 
10 555 165 
10 585 165 
10 615 15 
10 615 45 
10 615 105 
10 615 75 
10 615 135 
10 615 165 
10 615 195 
10 615 225 
10 585 225 
10 585 195 
10 555 195 
10 555 225 
10 555 255 
10 585 255 
10 615 255 
10 615 285 
10 615 315 
10 585 345 
10 615 375 
10 615 345 
10 615 435 
10 615 405 
10 585 375 
10 585 405 
10 585 435 
10 615 465 
10 585 465 
10 555 435 
10 555 465 
10 555 405 
10 555 375 
10 555 345 
10 555 315 
10 585 315 
10 585 285 
10 555 285 
10 165 465 
10 195 465 
10 225 465 
10 255 465 
10 285 465 
10 315 465 
10 345 465 
10 375 465 
10 405 465 
10 435 465 
10 465 465 
10 495 465 
10 525 465 
18 135 210
20 330 420 
